"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP165679","SRR8052708","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427868: AD_004_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427868"
"SRP165679","SRR8052709","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427869: AD_004_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427869"
"SRP165679","SRR8052710","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427870: AD_005_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427870"
"SRP165679","SRR8052711","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427871: AD_005_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427871"
"SRP165679","SRR8052712","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427872: AD_006_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427872"
"SRP165679","SRR8052713","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427873: AD_006_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427873"
"SRP165679","SRR8052714","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427874: AD_007_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427874"
"SRP165679","SRR8052715","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427875: AD_007_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427875"
"SRP165679","SRR8052716","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427876: AD_009_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427876"
"SRP165679","SRR8052717","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427877: AD_009_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427877"
"SRP165679","SRR8052718","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427878: AD_011_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427878"
"SRP165679","SRR8052719","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427879: AD_011_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427879"
"SRP165679","SRR8052720","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427880: AD_014_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427880"
"SRP165679","SRR8052721","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427881: AD_014_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427881"
"SRP165679","SRR8052722","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427882: AD_016_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427882"
"SRP165679","SRR8052723","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427883: AD_016_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427883"
"SRP165679","SRR8052724","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427884: AD_017_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427884"
"SRP165679","SRR8052725","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427885: AD_017_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427885"
"SRP165679","SRR8052726","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427886: AD_019_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427886"
"SRP165679","SRR8052727","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427887: AD_019_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427887"
"SRP165679","SRR8052728","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427888: AD_020_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427888"
"SRP165679","SRR8052729","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427889: AD_020_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427889"
"SRP165679","SRR8052730","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427890: AD_021_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427890"
"SRP165679","SRR8052731","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427891: AD_021_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427891"
"SRP165679","SRR8052732","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427892: AD_023_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427892"
"SRP165679","SRR8052733","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427893: AD_023_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427893"
"SRP165679","SRR8052734","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427894: AD_024_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427894"
"SRP165679","SRR8052735","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427895: AD_024_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427895"
"SRP165679","SRR8052736","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427896: AD_025_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427896"
"SRP165679","SRR8052737","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427897: AD_025_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427897"
"SRP165679","SRR8052738","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427898: AD_026_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427898"
"SRP165679","SRR8052739","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427899: AD_026_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427899"
"SRP165679","SRR8052740","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427900: AD_027_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427900"
"SRP165679","SRR8052741","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427901: AD_027_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427901"
"SRP165679","SRR8052742","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427902: AD_028_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427902"
