"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP213063","SRR9644784","Homo sapiens Transcriptome or Gene expression","ASP200-2","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629010, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 2|sex;;not applicable|tissue;;not applicable|treatment;;36h after 200 mg/L APS treatment",NA
"SRP213063","SRR9644787","Homo sapiens Transcriptome or Gene expression","ASP50-3","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629005, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 3|sex;;not applicable|tissue;;not applicable|treatment;;36h after 50 mg/L APS treatment",NA
"SRP213063","SRR9644788","Homo sapiens Transcriptome or Gene expression","ASP50-2","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629004, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 2|sex;;not applicable|tissue;;not applicable|treatment;;36h after 50 mg/L APS treatment",NA
"SRP213063","SRR9644789","Homo sapiens Transcriptome or Gene expression","ASP50-1","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629003, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 1|sex;;not applicable|tissue;;not applicable|treatment;;36h after 50 mg/L APS treatment",NA
"SRP213063","SRR9644790","Homo sapiens Transcriptome or Gene expression","CK-3","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629002, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 3|sex;;not applicable|tissue;;not applicable|treatment;;36h after PBS treatment",NA
"SRP213063","SRR9644791","Homo sapiens Transcriptome or Gene expression","CK-2","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629001, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 2|sex;;not applicable|tissue;;not applicable|treatment;;36h after PBS treatment",NA
"SRP213063","SRR9644792","Homo sapiens Transcriptome or Gene expression","CK-1","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629000, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 1|sex;;not applicable|tissue;;not applicable|treatment;;36h after PBS treatment",NA
"SRP213063","SRR9644793","Homo sapiens Transcriptome or Gene expression","ASP200-1","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629009, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 1|sex;;not applicable|tissue;;not applicable|treatment;;36h after 200 mg/L APS treatment",NA
"SRP213063","SRR9644794","Homo sapiens Transcriptome or Gene expression","ASP100-3","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629008, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 3|sex;;not applicable|tissue;;not applicable|treatment;;36h after 100 mg/L APS treatment",NA
"SRP213063","SRR9644783","Homo sapiens Transcriptome or Gene expression","ASP200-3","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629011, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 3|sex;;not applicable|tissue;;not applicable|treatment;;36h after 200 mg/L APS treatment",NA
"SRP213063","SRR9644785","Homo sapiens Transcriptome or Gene expression","ASP100-2","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629007, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 2|sex;;not applicable|tissue;;not applicable|treatment;;36h after 100 mg/L APS treatment",NA
"SRP213063","SRR9644786","Homo sapiens Transcriptome or Gene expression","ASP100-1","age;;not applicable|biomaterial_provider;;Doctor Chunshui Yu, Suining Central Hospital, No. 127, Western Desheng Road, Suining 629006, China.|BioSampleModel;;Human|cell_line;;HaCaT|isolate;;not applicable|replicate;;biological replicate 1|sex;;not applicable|tissue;;not applicable|treatment;;36h after 100 mg/L APS treatment",NA
